date,datatype,station,attributes,value
2018-01-01T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJBG0015,",,N,1050",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJBG0015,",,N,1050",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJBG0017,",,N,0920",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJBG0017,",,N,0920",0.0
2018-01-01T00:00:00,SNWD,GHCND:US1NJBG0017,"T,,N,0920",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJBG0018,",,N,0900",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJBG0018,",,N,0900",0.0
2018-01-01T00:00:00,SNWD,GHCND:US1NJBG0018,",,N,0900",3.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJBG0023,",,N,0800",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJBG0023,",,N,0800",0.0
2018-01-01T00:00:00,SNWD,GHCND:US1NJBG0023,",,N,0800",25.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJBG0030,",,N,0700",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJBG0039,",,N,0700",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJBG0039,",,N,0700",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJBG0044,",,N,0800",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJES0018,",,N,0700",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJES0018,",,N,0700",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJES0024,",,N,2359",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJES0024,",,N,2359",0.0
2018-01-01T00:00:00,SNWD,GHCND:US1NJES0024,",,N,2359",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJMD0043,",,N,0700",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJMD0043,",,N,0700",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJMD0045,",,N,0600",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJMD0045,",,N,0600",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJMD0062,"T,,N,0700",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJMD0062,"T,,N,0700",0.0
